coord,weather,snow,rain,message,main,description,icon,base,main,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind,clouds,dt,sys,id,country,sunrise,sunset,timezone,id,name,cod
"{'lon': 59.5289, 'lat': 22.5667}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,,"{'temp': 294.66, 'feels_like': 294.86, 'temp_min': 294.66, 'temp_max': 294.66, 'pressure': 1019, 'humidity': 62, 'sea_level': 1019, 'grnd_level': 1018}",,,stations,"{'temp': 294.66, 'feels_like': 294.86, 'temp_min': 294.66, 'temp_max': 294.66, 'pressure': 1019, 'humidity': 62, 'sea_level': 1019, 'grnd_level': 1018}",,,,,,10000,"{'speed': 1.48, 'deg': 6}",{'all': 69},1612323863,"{'country': 'OM', 'sunrise': 1612320012, 'sunset': 1612360269}",286245,,,,14400,286245,Sur,200
"{'lon': 142.15, 'lat': -34.2}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,,"{'temp': 297.87, 'feels_like': 294.37, 'temp_min': 297.15, 'temp_max': 298.71, 'pressure': 1010, 'humidity': 33}",,,stations,"{'temp': 297.87, 'feels_like': 294.37, 'temp_min': 297.15, 'temp_max': 298.71, 'pressure': 1010, 'humidity': 33}",,,,,,10000,"{'speed': 4.12, 'deg': 110}",{'all': 0},1612323863,"{'type': 1, 'id': 9550, 'country': 'AU', 'sunrise': 1612295652, 'sunset': 1612344968}",2157698,,,,39600,2157698,Mildura,200
"{'lon': 113.6333, 'lat': -24.8667}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,,,"{'temp': 300.15, 'feels_like': 302.12, 'temp_min': 300.15, 'temp_max': 300.15, 'pressure': 998, 'humidity': 100}",,,stations,"{'temp': 300.15, 'feels_like': 302.12, 'temp_min': 300.15, 'temp_max': 300.15, 'pressure': 998, 'humidity': 100}",,,,,,10000,"{'speed': 8.23, 'deg': 160}",{'all': 90},1612323271,"{'type': 1, 'id': 9505, 'country': 'AU', 'sunrise': 1612303423, 'sunset': 1612350886}",2074865,,,,28800,2074865,Carnarvon,200
"{'lon': 17.9442, 'lat': -33.0117}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 289.15, 'feels_like': 287.18, 'temp_min': 289.15, 'temp_max': 289.15, 'pressure': 1010, 'humidity': 82}",,,stations,"{'temp': 289.15, 'feels_like': 287.18, 'temp_min': 289.15, 'temp_max': 289.15, 'pressure': 1010, 'humidity': 82}",,,,,,10000,"{'speed': 4.12, 'deg': 230}",{'all': 0},1612323319,"{'type': 1, 'id': 1943, 'country': 'ZA', 'sunrise': 1612325610, 'sunset': 1612374633}",3361934,,,,7200,3361934,Saldanha,200
"{'lon': 19.6363, 'lat': 48.8043}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,{'1h': 0.27},,"{'temp': 272.04, 'feels_like': 268.37, 'temp_min': 272.04, 'temp_max': 272.04, 'pressure': 1012, 'humidity': 67}",,,stations,"{'temp': 272.04, 'feels_like': 268.37, 'temp_min': 272.04, 'temp_max': 272.04, 'pressure': 1012, 'humidity': 67}",,,,,,1565,"{'speed': 1.31, 'deg': 191}",{'all': 100},1612323864,"{'type': 3, 'id': 2008861, 'country': 'SK', 'sunrise': 1612332521, 'sunset': 1612366910}",3060950,,,,3600,3060950,Brezno,200
"{'lon': 152.9167, 'lat': -31.4333}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,,"{'temp': 299.55, 'feels_like': 301.61, 'temp_min': 299.26, 'temp_max': 299.82, 'pressure': 1010, 'humidity': 59}",,,stations,"{'temp': 299.55, 'feels_like': 301.61, 'temp_min': 299.26, 'temp_max': 299.82, 'pressure': 1010, 'humidity': 59}",,,,,,10000,"{'speed': 0.89, 'deg': 290, 'gust': 1.79}",{'all': 32},1612323717,"{'type': 3, 'id': 2030397, 'country': 'AU', 'sunrise': 1612293360, 'sunset': 1612342091}",2152659,,,,39600,2152659,Port Macquarie,200
"{'lon': -133.0374, 'lat': 69.4541}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 232.15, 'feels_like': 227.11, 'temp_min': 232.15, 'temp_max': 232.15, 'pressure': 1041, 'humidity': 74}",,,stations,"{'temp': 232.15, 'feels_like': 227.11, 'temp_min': 232.15, 'temp_max': 232.15, 'pressure': 1041, 'humidity': 74}",,,,,,10000,"{'speed': 1.54, 'deg': 230}",{'all': 1},1612323287,"{'type': 1, 'id': 942, 'country': 'CA', 'sunrise': 1612290109, 'sunset': 1612309797}",6170031,,,,-25200,6170031,Tuktoyaktuk,200
"{'lon': 89.9833, 'lat': 22.5667}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,,"{'temp': 295.38, 'feels_like': 291.7, 'temp_min': 295.38, 'temp_max': 295.38, 'pressure': 1018, 'humidity': 30, 'sea_level': 1018, 'grnd_level': 1017}",,,stations,"{'temp': 295.38, 'feels_like': 291.7, 'temp_min': 295.38, 'temp_max': 295.38, 'pressure': 1018, 'humidity': 30, 'sea_level': 1018, 'grnd_level': 1017}",,,,,,10000,"{'speed': 3.33, 'deg': 344}",{'all': 0},1612323864,"{'country': 'BD', 'sunrise': 1612312705, 'sunset': 1612352957}",1185138,,,,21600,1185138,Pirojpur,200
"{'lon': 18.4232, 'lat': -33.9258}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 291.57, 'feels_like': 288.3, 'temp_min': 290.93, 'temp_max': 292.59, 'pressure': 1011, 'humidity': 88}",,,stations,"{'temp': 291.57, 'feels_like': 288.3, 'temp_min': 290.93, 'temp_max': 292.59, 'pressure': 1011, 'humidity': 88}",,,,,,10000,"{'speed': 7.72, 'deg': 210}",{'all': 0},1612323441,"{'type': 1, 'id': 1899, 'country': 'ZA', 'sunrise': 1612325397, 'sunset': 1612374616}",3369157,,,,7200,3369157,Cape Town,200
"{'lon': 114.0833, 'lat': 71.9167}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,,,"{'temp': 253.61, 'feels_like': 246.5, 'temp_min': 253.61, 'temp_max': 253.61, 'pressure': 1008, 'humidity': 91, 'sea_level': 1008, 'grnd_level': 1007}",,,stations,"{'temp': 253.61, 'feels_like': 246.5, 'temp_min': 253.61, 'temp_max': 253.61, 'pressure': 1008, 'humidity': 91, 'sea_level': 1008, 'grnd_level': 1007}",,,,,,512,"{'speed': 5, 'deg': 25}",{'all': 100},1612323277,"{'country': 'RU', 'sunrise': 1612319722, 'sunset': 1612334371}",2017155,,,,32400,2017155,Saskylakh,200
